Price,Date,Zip_Code,Address,ABC,EFG,X,County,Area,Area1
499995,28/01/2016,NW5 2JD,21,FLAT 3,OSPRINGE ROAD,,LONDON,CAMDEN,GREATER LONDON
582000,05/02/2016,NW3 2JA,18B,,RONA ROAD,,LONDON,CAMDEN,GREATER LONDON
552500,01/02/2016,SW1P 4EF,"PEEL HOUSE, 105",FLAT 60,REGENCY STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
525000,22/01/2016,W2 5JE,3,FLAT D,TALBOT ROAD,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
450000,10/02/2016,W1J 7AF,GARRICK HOUSE,FLAT 32,CARRINGTON STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
590000,10/02/2016,NW6 4EP,"GLADSTONE COURT, 49",FLAT 4,FAIRFAX ROAD,,LONDON,CAMDEN,GREATER LONDON
3515000,15/02/2016,NW1 8XB,1,,CHAMBERLAIN STREET,,LONDON,CAMDEN,GREATER LONDON
535000,06/01/2016,WC1X 8EJ,"DULVERTON MANSIONS, 168",FLAT 26,GRAYS INN ROAD,,LONDON,CAMDEN,GREATER LONDON
385011,05/02/2016,NW1 0EY,9A,FLAT 2,BAYHAM STREET,,LONDON,CAMDEN,GREATER LONDON
780000,29/01/2016,NW6 1PL,107B,,SUMATRA ROAD,,LONDON,CAMDEN,GREATER LONDON
543000,25/01/2016,W9 3BA,37C,,PORTNALL ROAD,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
500000,12/02/2016,W9 3HN,8,FLAT 2,BRADISTON ROAD,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
613000,02/02/2016,NW1 6NE,76,FLAT 3,BALCOMBE STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
2450000,15/01/2016,W9 1DT,2A,,CLIFTON GARDENS,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
287500,22/01/2016,RM10 9QJ,30,,SCHOOL ROAD,,DAGENHAM,BARKING AND DAGENHAM,GREATER LONDON
590000,11/02/2016,W2 3UP,26,FLAT 2,WESTBOURNE TERRACE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
450000,05/02/2016,NW6 2EE,1A,,MAYGROVE ROAD,,LONDON,CAMDEN,GREATER LONDON
1000000,01/02/2016,NW3 4NX,"JADE HOUSE, 12",FLAT 6,LANCASTER GROVE,,LONDON,CAMDEN,GREATER LONDON
1050000,17/02/2016,W2 5HU,RALPH COURT,FLAT 130,QUEENSWAY,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
1275000,15/01/2016,SW1P 1HN,ASHLEY GARDENS,141B,THIRLEBY ROAD,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
295000,09/02/2016,UB6 8LX,91A,,BIRKBECK AVENUE,,GREENFORD,EALING,GREATER LONDON
550000,05/02/2016,HA5 3SG,65,,PINNER HILL ROAD,,PINNER,HARROW,GREATER LONDON
179950,28/01/2016,UB8 2QH,"NIJINSKY HOUSE, 10",FLAT 8,CHILTERN VIEW ROAD,,UXBRIDGE,HILLINGDON,GREATER LONDON
315000,22/01/2016,TW5 0UL,22,,FERRARO CLOSE,,HOUNSLOW,HOUNSLOW,GREATER LONDON
404000,03/02/2016,W7 1HS,150,,OAKLANDS ROAD,HANWELL,LONDON,EALING,GREATER LONDON
560000,22/01/2016,W9 3AT,127,GROUND FLOOR FLAT,BRAVINGTON ROAD,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
710000,08/02/2016,NW6 3AE,ACOL COURT,FLAT 11,ACOL ROAD,,LONDON,CAMDEN,GREATER LONDON
317500,03/02/2016,HA8 0TD,30,,LITTLEFIELD ROAD,,EDGWARE,BARNET,GREATER LONDON
799500,15/01/2016,UB8 1XS,23,,WATER TOWER CLOSE,,UXBRIDGE,HILLINGDON,GREATER LONDON
315000,25/01/2016,HA2 6EL,2,FLAT 2,WOODLANDS,,HARROW,HARROW,GREATER LONDON
1015000,04/01/2016,NW1 3EJ,1,,NETLEY STREET,,LONDON,CAMDEN,GREATER LONDON
560000,29/01/2016,NW10 5JE,17C,,CLIFFORD GARDENS,,LONDON,BRENT,GREATER LONDON
227500,29/01/2016,NW10 0DS,172,,BRAEMAR AVENUE,,LONDON,BRENT,GREATER LONDON
750000,12/02/2016,N1 2NX,10,FLAT D,PRIOR BOLTON STREET,,LONDON,ISLINGTON,GREATER LONDON
1000000,05/02/2016,W11 2QG,LONGLANDS COURT,FLAT 96,WESTBOURNE GROVE,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
521500,28/01/2016,EN5 1AY,63,,GREAT NORTH ROAD,,BARNET,BARNET,GREATER LONDON
600000,12/02/2016,W12 9UB,BRENT COURT,FLAT 27,EMLYN GARDENS,,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
387500,05/02/2016,UB8 1XP,6,,FAIRLIGHT DRIVE,,UXBRIDGE,HILLINGDON,GREATER LONDON
370000,29/01/2016,NW6 5SX,CANTERBURY COURT,FLAT 20,GOREFIELD PLACE,,LONDON,BRENT,GREATER LONDON
1555000,29/01/2016,W9 1DW,65,FLAT K,RANDOLPH AVENUE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
410000,20/01/2016,UB7 7NH,9,,FRAYS CLOSE,,WEST DRAYTON,HILLINGDON,GREATER LONDON
295000,11/02/2016,UB5 5SY,75,,HOLLOWFIELD WALK,,NORTHOLT,EALING,GREATER LONDON
408000,15/02/2016,UB8 1XP,7,,FAIRLIGHT DRIVE,,UXBRIDGE,HILLINGDON,GREATER LONDON
510000,29/01/2016,UB8 3NX,32A,,COPPERFIELD AVENUE,,UXBRIDGE,HILLINGDON,GREATER LONDON
510000,13/01/2016,HA4 7YJ,18,,WALLINGTON CLOSE,,RUISLIP,HILLINGDON,GREATER LONDON
1360000,12/02/2016,SW6 6AQ,19,,MABLETHORPE ROAD,,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
625000,08/02/2016,W6 0XA,STAMFORD BROOK MANSIONS,FLAT 4,GOLDHAWK ROAD,,LONDON,HOUNSLOW,GREATER LONDON
550000,29/01/2016,N20 9AG,37,,OXFORD GARDENS,,LONDON,BARNET,GREATER LONDON
400000,11/01/2016,TW14 9QW,35,,GRASMERE CLOSE,,FELTHAM,HOUNSLOW,GREATER LONDON
