Price,Date,Zip_Code,Address,ABC,EFG,X,County,Area,Area1
310000,15/01/2016,UB6 8LJ,COTSWOLD COURT,8,HODDER DRIVE,PERIVALE,GREENFORD,EALING,GREATER LONDON
420000,08/02/2016,N7 7JS,88,GROUND FLOOR FLAT,ISLEDON ROAD,,LONDON,ISLINGTON,GREATER LONDON
368250,15/02/2016,NW9 5ZE,"FELIX COURT, 11",FLAT 66,CHARCOT ROAD,,LONDON,BARNET,GREATER LONDON
350000,15/01/2016,TW8 0FD,8,APARTMENT 39,KEW BRIDGE ROAD,,BRENTFORD,HOUNSLOW,GREATER LONDON
297000,06/01/2016,HA1 2TX,23,,HIGH MEAD,,HARROW,HARROW,GREATER LONDON
350000,20/01/2016,E3 3GS,30,FLAT 19,OXLEY SQUARE,,LONDON,TOWER HAMLETS,GREATER LONDON
252000,25/01/2016,EN4 8HF,"FELINE COURT, 23",12,CAT HILL,,BARNET,BARNET,GREATER LONDON
325000,29/01/2016,TW13 5JJ,23,,SAXON AVENUE,,FELTHAM,HOUNSLOW,GREATER LONDON
415000,20/01/2016,E14 9EQ,2,APARTMENT 731,BALTIMORE WHARF,,LONDON,TOWER HAMLETS,GREATER LONDON
340000,14/01/2016,HA2 0FQ,WREN COURT,FLAT 2,SWIFT CLOSE,,HARROW,HARROW,GREATER LONDON
275000,29/01/2016,HA1 4RX,24,,MOAT DRIVE,,HARROW,HARROW,GREATER LONDON
310000,13/01/2016,W3 7FF,NAPIER HOUSE,FLAT 47,BROMYARD AVENUE,,LONDON,EALING,GREATER LONDON
97500,05/02/2016,E3 2DQ,47,FLAT 6,CHERRYWOOD CLOSE,,LONDON,TOWER HAMLETS,GREATER LONDON
160000,28/01/2016,UB10 0DD,20,,LEASIDE COURT,,UXBRIDGE,HILLINGDON,GREATER LONDON
380000,19/02/2016,N7 6RU,133,FLAT 3,SUSSEX WAY,,LONDON,ISLINGTON,GREATER LONDON
490000,27/01/2016,E9 5FA,SKY APARTMENTS,FLAT 44,HOMERTON ROAD,,LONDON,HACKNEY,GREATER LONDON
332000,22/02/2016,E3 4GL,"KIRKBY APARTMENTS, 1B",FLAT 18,BAYTHORNE STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
440000,18/02/2016,EN5 1EJ,"VESTA HOUSE, 25",FLAT 1,GREAT NORTH ROAD,NEW BARNET,BARNET,BARNET,GREATER LONDON
465000,27/01/2016,W4 5LE,2B,FLAT 24,BOLLO LANE,,LONDON,EALING,GREATER LONDON
475000,12/02/2016,N1 8PT,10,FLAT 5,PREBEND STREET,,LONDON,ISLINGTON,GREATER LONDON
250000,29/01/2016,N8 0AS,116,FLAT E,ALLISON ROAD,,LONDON,HARINGEY,GREATER LONDON
312500,02/02/2016,HA0 2PX,884,,HARROW ROAD,,WEMBLEY,BRENT,GREATER LONDON
470000,12/02/2016,HA7 2QZ,GATEHOUSE LODGE,1,OLD CHURCH LANE,,STANMORE,HARROW,GREATER LONDON
312000,12/02/2016,E3 5JD,69C,FLAT 2,ST STEPHENS ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON
425000,17/02/2016,E3 5EL,519A,FLAT 3,ROMAN ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON
565000,11/01/2016,N7 6FR,133,FLAT 7,AXMINSTER ROAD,,LONDON,ISLINGTON,GREATER LONDON
120000,26/01/2016,UB2 5GP,FEATHERSTONE COURT,FLAT 28,FEATHERSTONE ROAD,,SOUTHALL,EALING,GREATER LONDON
465000,08/02/2016,N16 0AJ,34,FLAT A,BOUVERIE ROAD,,LONDON,HACKNEY,GREATER LONDON
450000,11/02/2016,UB4 8SU,22,,LANGDALE DRIVE,,HAYES,HILLINGDON,GREATER LONDON
630000,11/02/2016,N4 2BS,RESIDENCE TOWER,FLAT 167,WOODBERRY GROVE,,LONDON,HACKNEY,GREATER LONDON
620000,01/02/2016,W4 2JT,73,,EASTBURY GROVE,,LONDON,HOUNSLOW,GREATER LONDON
465000,21/01/2016,NW9 5HG,"CRAWFORD COURT, 7",FLAT 12,CHARCOT ROAD,,LONDON,BARNET,GREATER LONDON
401368,10/02/2016,E1W 3AR,"BINNACLE HOUSE, 10",APARTMENT G03,COBBLESTONE SQUARE,,LONDON,TOWER HAMLETS,GREATER LONDON
375000,08/01/2016,N22 8PL,"RENEE, 66",FLAT 9,CLARENCE ROAD,WOOD GREEN,LONDON,HARINGEY,GREATER LONDON
486000,10/02/2016,W3 7FJ,NAPIER HOUSE,FLAT 127,BROMYARD AVENUE,,LONDON,EALING,GREATER LONDON
390000,11/02/2016,UB3 4FD,CARDINAL BUILDING,FLAT 204,STATION APPROACH,,HAYES,HILLINGDON,GREATER LONDON
785000,20/01/2016,E1W 3AS,"CORDAGE HOUSE, 15",APARTMENT 206,COBBLESTONE SQUARE,,LONDON,TOWER HAMLETS,GREATER LONDON
475000,01/02/2016,E2 7JQ,"ANLABY HOUSE, 31",FLAT 5,BOUNDARY STREET,,LONDON,HACKNEY,GREATER LONDON
396000,02/02/2016,NW4 1LS,CLAYDON HOUSE,FLAT 32,HOLDERS HILL ROAD,,LONDON,BARNET,GREATER LONDON
360000,26/01/2016,HA9 0BY,QUADRANT COURT,FLAT 3,EMPIRE WAY,,WEMBLEY,BRENT,GREATER LONDON
370000,02/02/2016,UB4 9HG,11,,AYLES ROAD,,HAYES,HILLINGDON,GREATER LONDON
560000,26/01/2016,N16 6PH,71,,KYVERDALE ROAD,,LONDON,HACKNEY,GREATER LONDON
495000,02/02/2016,W7 2AQ,38,FLAT 2,SOUTHDOWN AVENUE,,LONDON,EALING,GREATER LONDON
540000,19/02/2016,W13 8DW,"FRINTON COURT, 6",FLAT 9,HARDWICK GREEN,,LONDON,EALING,GREATER LONDON
600000,18/01/2016,W5 1QY,22A,,PITSHANGER LANE,EALING,LONDON,EALING,GREATER LONDON
675000,08/01/2016,EC2A 4BY,24,APARTMENT 3,LEONARD STREET,,LONDON,ISLINGTON,GREATER LONDON
425000,25/01/2016,E17 8HE,117,,HIBBERT ROAD,,LONDON,WALTHAM FOREST,GREATER LONDON
364000,18/02/2016,N7 9UP,33,,BUNNING WAY,,LONDON,ISLINGTON,GREATER LONDON
343000,22/02/2016,E3 3QB,"MARNER POINT, 1",FLAT 37,JEFFERSON PLAZA,,LONDON,TOWER HAMLETS,GREATER LONDON
135000,29/01/2016,HA4 8GF,"FLOWERDOWN COURT, 2",18,FLOWERS AVENUE,,RUISLIP,HILLINGDON,GREATER LONDON
287500,15/01/2016,E1 0HJ,"EAST END MISSION, 577",34,COMMERCIAL ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON
420000,21/01/2016,N1 5QS,"HERTFORD WHARF, 20",FLAT 31,HERTFORD ROAD,,LONDON,HACKNEY,GREATER LONDON
671000,11/02/2016,EC2A 4BY,24,APARTMENT 35,LEONARD STREET,,LONDON,ISLINGTON,GREATER LONDON
335000,12/01/2016,N14 4JN,"HYACINTH COURT, 123",FLAT 1,CHELMSFORD ROAD,,LONDON,ENFIELD,GREATER LONDON
450000,22/01/2016,HA4 7LX,36,,FIELD WAY,,RUISLIP,HILLINGDON,GREATER LONDON
362500,29/01/2016,N7 6FR,133,FLAT 6,AXMINSTER ROAD,,LONDON,ISLINGTON,GREATER LONDON
405000,29/01/2016,E3 3GY,"AEGEAN COURT, 20",FLAT 301,SEVEN SEA GARDENS,,LONDON,TOWER HAMLETS,GREATER LONDON
445000,29/01/2016,HA4 6LY,111,,BEDFORD ROAD,,RUISLIP,HILLINGDON,GREATER LONDON
536005,08/02/2016,W4 3SS,29C,,SPENCER ROAD,,LONDON,HOUNSLOW,GREATER LONDON
585000,22/01/2016,HA6 1QN,83,,PINNER ROAD,,NORTHWOOD,HILLINGDON,GREATER LONDON
575000,16/02/2016,EC2Y 9AP,"THE HERON, 5",APARTMENT 1004,MOOR LANE,,LONDON,CITY OF LONDON,GREATER LONDON
650000,04/02/2016,E1 8EY,"STERLING MANSIONS, 75",APARTMENT 51,LEMAN STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
215000,29/01/2016,UB2 5GR,FEATHERSTONE COURT,126,DUDLEY ROAD,,SOUTHALL,EALING,GREATER LONDON
255000,15/02/2016,N11 2RS,95,FLAT 4,TELFORD ROAD,,LONDON,ENFIELD,GREATER LONDON
358000,02/02/2016,N1 2LT,55,FLAT 2,ST PAULS ROAD,,LONDON,ISLINGTON,GREATER LONDON
435000,29/01/2016,HA5 3JS,4,,CAULFIELD GARDENS,,PINNER,HARROW,GREATER LONDON
435000,29/01/2016,HA5 3JS,3,,CAULFIELD GARDENS,,PINNER,HARROW,GREATER LONDON
1200000,05/02/2016,W4 1AH,59,,GREENEND ROAD,,LONDON,EALING,GREATER LONDON
295000,05/02/2016,HA4 0AL,112A,,VICTORIA ROAD,,RUISLIP,HILLINGDON,GREATER LONDON
615000,22/01/2016,N16 8QR,79,,CHURCH WALK,,LONDON,HACKNEY,GREATER LONDON
284750,22/01/2016,HA1 1LD,34,GROUND FLOOR FLAT,GREENHILL ROAD,,HARROW,HARROW,GREATER LONDON
395000,01/02/2016,UB6 0SE,36,,BEDSER DRIVE,,GREENFORD,EALING,GREATER LONDON
685088,28/01/2016,N4 2GR,CITY VIEW APARTMENTS,FLAT 86,DEVAN GROVE,,LONDON,HACKNEY,GREATER LONDON
600000,23/02/2016,HA6 2WG,"ELM HOUSE, 97",FLAT 8,DUCKS HILL ROAD,,NORTHWOOD,HILLINGDON,GREATER LONDON
350000,08/01/2016,N14 7DE,63D,,SELBORNE ROAD,,LONDON,ENFIELD,GREATER LONDON
393000,29/01/2016,NW10 2EF,9,,NEWMAN CLOSE,,LONDON,BRENT,GREATER LONDON
695000,20/01/2016,W5 2JG,DICKENS YARD,17 FITZROY HOUSE,LONGFIELD AVENUE,,LONDON,EALING,GREATER LONDON
473000,05/01/2016,NW6 5AA,63,,CAMBRIDGE AVENUE,,LONDON,BRENT,GREATER LONDON
260000,08/01/2016,UB2 4UN,OSTERLEY VIEWS,FLAT 7,WEST PARK ROAD,,SOUTHALL,EALING,GREATER LONDON
640000,15/01/2016,N4 2GR,CITY VIEW APARTMENTS,FLAT 101,DEVAN GROVE,,LONDON,HACKNEY,GREATER LONDON
470000,15/01/2016,N16 8EL,95,FLAT A,STOKE NEWINGTON HIGH STREET,,LONDON,HACKNEY,GREATER LONDON
410000,16/02/2016,E17 9EP,32A,,BROOKFIELD AVENUE,,LONDON,WALTHAM FOREST,GREATER LONDON
795000,18/01/2016,W5 2JG,DICKENS YARD,37 FITZROY HOUSE,LONGFIELD AVENUE,,LONDON,EALING,GREATER LONDON
320000,29/01/2016,EN5 4PA,WENTWORTH COURT,9,WENTWORTH ROAD,,BARNET,BARNET,GREATER LONDON
240000,12/02/2016,NW10 9RE,ORCHARD COURT,26C,FORTUNEGATE ROAD,,LONDON,BRENT,GREATER LONDON
435000,05/02/2016,HA1 1SA,47,,RADNOR ROAD,,HARROW,HARROW,GREATER LONDON
235000,12/02/2016,NW9 5UZ,"CHAPMAN HOUSE, 24",FLAT 12,AERODROME ROAD,,LONDON,BARNET,GREATER LONDON
320000,29/01/2016,N18 2FF,"PROWSE COURT, 74",38,FORE STREET,,LONDON,ENFIELD,GREATER LONDON
355000,29/01/2016,TW14 8AL,22,,BRIDLEPATH WAY,,FELTHAM,HOUNSLOW,GREATER LONDON
300000,22/01/2016,TW3 3RZ,273,,HANWORTH ROAD,,HOUNSLOW,HOUNSLOW,GREATER LONDON
625000,29/01/2016,NW2 5AP,14A,,PARK AVENUE,,LONDON,BRENT,GREATER LONDON
347500,26/01/2016,E17 8HA,1,GROUND FLOOR FLAT,SYBOURN STREET,,LONDON,WALTHAM FOREST,GREATER LONDON
390000,29/01/2016,E10 6EL,91,,PETERBOROUGH ROAD,,LONDON,WALTHAM FOREST,GREATER LONDON
185000,05/02/2016,HA9 8HB,62A,,WEMBLEY PARK DRIVE,,WEMBLEY,BRENT,GREATER LONDON
525000,18/01/2016,N7 9JN,21,FLAT 3,FREEGROVE ROAD,,LONDON,ISLINGTON,GREATER LONDON
162872,01/02/2016,E1 0NX,3,,TOTTAN TERRACE,,LONDON,TOWER HAMLETS,GREATER LONDON
825000,21/01/2016,N1 3LF,"BASEMENT AND GROUND FLOOR FLAT, 143A",,SOUTHGATE ROAD,,LONDON,ISLINGTON,GREATER LONDON
539000,05/02/2016,E1 8NF,"ALTITUDE POINT, 71",APARTMENT 1006,ALIE STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
355000,22/01/2016,TW8 0GQ,LAVAL HOUSE,APARTMENT 601,EALING ROAD,,BRENTFORD,HOUNSLOW,GREATER LONDON
307500,09/02/2016,W4 4LG,BELGRAVE COURT,FLAT 2,WELLESLEY ROAD,,LONDON,HOUNSLOW,GREATER LONDON
392500,28/01/2016,HA8 8LY,"APOLLO COURT, 104",FLAT 1,EDGWAREBURY LANE,,EDGWARE,BARNET,GREATER LONDON
345500,27/01/2016,NW10 4DH,137A,,DRAYTON ROAD,,LONDON,BRENT,GREATER LONDON
365000,18/02/2016,TW4 7HF,253,,MARTINDALE ROAD,,HOUNSLOW,HOUNSLOW,GREATER LONDON
435000,19/02/2016,N16 5JL,15A,,DENVER ROAD,,LONDON,HACKNEY,GREATER LONDON
825000,11/02/2016,HA4 8FS,35,,BLAGROVE CRESCENT,,RUISLIP,HILLINGDON,GREATER LONDON
650000,08/01/2016,E3 2ZE,2,,JOSHUA PEDLEY MEWS,,LONDON,TOWER HAMLETS,GREATER LONDON
275000,22/01/2016,EN1 2PT,10B,,QUEEN ANNES PLACE,,ENFIELD,ENFIELD,GREATER LONDON
371750,05/02/2016,E17 8JU,64A,,BOUNDARY ROAD,,LONDON,WALTHAM FOREST,GREATER LONDON
740000,29/01/2016,EN5 5EY,64,,BULWER ROAD,,BARNET,BARNET,GREATER LONDON
569995,04/02/2016,EN2 8LU,47,,DRAPERS ROAD,,ENFIELD,ENFIELD,GREATER LONDON
300000,29/01/2016,UB4 8AG,134A,,PARK LANE,,HAYES,HILLINGDON,GREATER LONDON
315000,05/02/2016,TW7 7LG,12,,MANNS CLOSE,,ISLEWORTH,HOUNSLOW,GREATER LONDON
450000,29/01/2016,NW6 7XR,31,FLAT 1,CAVENDISH ROAD,,LONDON,BRENT,GREATER LONDON
525000,15/01/2016,W4 3NT,28,,MEADE CLOSE,,LONDON,HOUNSLOW,GREATER LONDON
314000,01/02/2016,UB7 9PE,2,,HOLLY GARDENS,,WEST DRAYTON,HILLINGDON,GREATER LONDON
850000,22/01/2016,E1 6GR,"AVANTGARDE TOWER, 1",APARTMENT 43,AVANTGARDE PLACE,,LONDON,TOWER HAMLETS,GREATER LONDON
365000,08/01/2016,E17 7EA,170,,WARNER ROAD,,LONDON,WALTHAM FOREST,GREATER LONDON
392500,27/01/2016,EN2 8GZ,"SPORTON COURT, 49",FLAT 20,DRAPERS ROAD,,ENFIELD,ENFIELD,GREATER LONDON
276401,12/02/2016,TW7 5PB,805,,GREAT WEST ROAD,,ISLEWORTH,HOUNSLOW,GREATER LONDON
405000,19/02/2016,N10 2JE,105,,PEMBROKE ROAD,,LONDON,BARNET,GREATER LONDON
395000,29/01/2016,E9 6FS,9,FLAT 34,CRESSET ROAD,,LONDON,HACKNEY,GREATER LONDON
700000,12/02/2016,W3 8LZ,1,,PRINCES AVENUE,,LONDON,HOUNSLOW,GREATER LONDON
860000,29/01/2016,E1 6GS,"AVANTGARDE TOWER, 1",APARTMENT 92,AVANTGARDE PLACE,,LONDON,TOWER HAMLETS,GREATER LONDON
785000,14/01/2016,NW2 2LD,"TESEO HOUSE, 124",FLAT 12,GRANVILLE ROAD,,LONDON,BARNET,GREATER LONDON
363000,01/02/2016,N17 6DU,71,,KITCHENER ROAD,,LONDON,HARINGEY,GREATER LONDON
277000,10/02/2016,HA5 1RJ,140A,,FIELD END ROAD,,PINNER,HILLINGDON,GREATER LONDON
705000,29/01/2016,N4 2LG,2,FLAT 8,ALEXANDRA GROVE,,LONDON,HACKNEY,GREATER LONDON
725000,15/01/2016,NW6 5PS,15,SECOND AND THIRD FLOOR FLAT,MALVERN ROAD,,LONDON,BRENT,GREATER LONDON
225000,02/02/2016,TW3 1QG,19,,STIRLING GROVE,,HOUNSLOW,HOUNSLOW,GREATER LONDON
325000,09/02/2016,HA2 9HQ,92B,,LEAMINGTON CRESCENT,,HARROW,HARROW,GREATER LONDON
190000,14/01/2016,TW4 7AN,DELTA COURT,6,STANDARD ROAD,,HOUNSLOW,HOUNSLOW,GREATER LONDON
395000,08/02/2016,N19 3NL,696,GROUND FLOOR FLAT,HOLLOWAY ROAD,,LONDON,ISLINGTON,GREATER LONDON
370000,20/01/2016,N8 7PN,16,,THE CAMPSBOURNE,,LONDON,HARINGEY,GREATER LONDON
426000,01/02/2016,NW10 8TU,54A,,ACTON LANE,,LONDON,BRENT,GREATER LONDON
495000,02/02/2016,W5 1RJ,KENMURE MANSIONS,FLAT 23,PITSHANGER LANE,EALING,LONDON,EALING,GREATER LONDON
275000,29/01/2016,TW7 5EL,5,,BRAYBOURNE DRIVE,,ISLEWORTH,HOUNSLOW,GREATER LONDON
190000,15/02/2016,NW9 6QD,50,,SCOTTWELL DRIVE,,LONDON,BARNET,GREATER LONDON
270000,16/02/2016,HA1 2QT,3,,ELMGROVE CRESCENT,,HARROW,HARROW,GREATER LONDON
380000,02/02/2016,N20 9RR,"PARK COURT, 89",FLAT 3,OAKLEIGH PARK NORTH,,LONDON,BARNET,GREATER LONDON
290000,22/01/2016,E14 0HX,"SALCOMBE COURT, 16",FLAT 801,ST IVES PLACE,,LONDON,TOWER HAMLETS,GREATER LONDON
2150000,19/02/2016,W4 4BQ,19,,BURLINGTON ROAD,,LONDON,HOUNSLOW,GREATER LONDON
395000,01/02/2016,N22 6AS,41B,,BOUNDARY ROAD,,LONDON,HARINGEY,GREATER LONDON
345000,21/01/2016,N4 1LD,55,FLAT 2,KIMBERLEY GARDENS,,LONDON,HARINGEY,GREATER LONDON
238500,15/01/2016,HA1 1SY,62D,,WARRINGTON ROAD,,HARROW,HARROW,GREATER LONDON
350000,15/01/2016,W4 3SY,BURLINGTON COURT,FLAT 9A,SPENCER ROAD,,LONDON,HOUNSLOW,GREATER LONDON
510000,12/02/2016,E3 2PX,"INK COURT, 419",FLAT 505,WICK LANE,,LONDON,TOWER HAMLETS,GREATER LONDON
540000,05/02/2016,E3 2PW,"INK COURT, 419",FLAT 508,WICK LANE,,LONDON,TOWER HAMLETS,GREATER LONDON
550000,14/01/2016,E3 2PW,"INK COURT, 419",FLAT 606,WICK LANE,,LONDON,TOWER HAMLETS,GREATER LONDON
335000,05/02/2016,E17 3JQ,94A,,TURNER ROAD,,LONDON,WALTHAM FOREST,GREATER LONDON
430000,27/01/2016,N2 9BS,CREIGHTON COURT,FLAT 6,CREIGHTON AVENUE,,LONDON,BARNET,GREATER LONDON
430000,04/01/2016,TW8 0HN,MASSON HOUSE,32,PUMP HOUSE CRESCENT,,BRENTFORD,HOUNSLOW,GREATER LONDON
515000,29/01/2016,N13 4HB,19A,,BROOMFIELD LANE,,LONDON,ENFIELD,GREATER LONDON
340000,02/02/2016,EN5 2ST,69,,BELLS HILL,,BARNET,BARNET,GREATER LONDON
525000,11/02/2016,N21 3LD,34A,,WOODBERRY AVENUE,,LONDON,ENFIELD,GREATER LONDON
405000,15/02/2016,W7 1HJ,42,,GROSVENOR ROAD,,LONDON,EALING,GREATER LONDON
235000,20/01/2016,NW2 5SS,13C,,ST PAULS AVENUE,,LONDON,BRENT,GREATER LONDON
372937,05/01/2016,E3 3TU,"GRENFELL COURT, 18",FLAT 705,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
400000,05/01/2016,E3 3TR,"HOEY COURT, 4",FLAT 602,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
370000,05/01/2016,E3 3TR,"HOEY COURT, 4",FLAT 1003,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
274000,04/01/2016,NW9 5XD,"CONSTANTINE HOUSE, 14",FLAT 18,BOULEVARD DRIVE,,LONDON,BARNET,GREATER LONDON
325000,05/01/2016,E3 3TR,"HOEY COURT, 4",FLAT 805,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
385000,05/01/2016,E3 3TU,"GRENFELL COURT, 18",FLAT 806,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
331000,04/02/2016,,39,,HAROLDSTONE ROAD,,LONDON,WALTHAM FOREST,GREATER LONDON
750000,15/01/2016,E1 1DD,"KINGS COURT APARTMENTS, 10",PENTHOUSE APARTMENT,ROPEWALK GARDENS,,LONDON,TOWER HAMLETS,GREATER LONDON
550000,29/01/2016,N16 5DA,33,,BETHUNE ROAD,,LONDON,HACKNEY,GREATER LONDON
275000,29/01/2016,EN5 5JT,47,,GALDANA AVENUE,,BARNET,BARNET,GREATER LONDON
325000,22/01/2016,N17 8LY,93B,,PEMBURY ROAD,,LONDON,HARINGEY,GREATER LONDON
585000,01/02/2016,E9 7SF,8,FLAT C,KING EDWARD'S ROAD,,LONDON,HACKNEY,GREATER LONDON
290000,29/01/2016,UB10 8UN,54,,AYLSHAM DRIVE,ICKENHAM,UXBRIDGE,HILLINGDON,GREATER LONDON
1475000,11/01/2016,TW8 0FD,8,APARTMENT 58,KEW BRIDGE ROAD,,BRENTFORD,HOUNSLOW,GREATER LONDON
230000,08/01/2016,EN4 8AD,13,,CLARENCE CLOSE,,BARNET,BARNET,GREATER LONDON
455000,05/02/2016,N22 8NN,108D,,MARLBOROUGH ROAD,,LONDON,ENFIELD,GREATER LONDON
205000,15/01/2016,E17 3QG,"FLAT C, 17",,UPPER WALTHAMSTOW ROAD,,LONDON,WALTHAM FOREST,GREATER LONDON
178000,12/02/2016,UB2 5NT,102,,BURKET CLOSE,,SOUTHALL,HOUNSLOW,GREATER LONDON
563000,12/02/2016,N7 9UP,44,,BUNNING WAY,,LONDON,ISLINGTON,GREATER LONDON
300000,15/02/2016,HA9 9DB,65,,POPLAR GROVE,,WEMBLEY,BRENT,GREATER LONDON
329900,22/01/2016,EN4 8AP,"BLOOMSBURY COURT, 42",FLAT 2,LANCASTER ROAD,,BARNET,BARNET,GREATER LONDON
552000,19/02/2016,N8 9SA,79B,,FERME PARK ROAD,,LONDON,HARINGEY,GREATER LONDON
285000,10/02/2016,N10 1LH,THIRLESTANE COURT,FLAT 11,COLNEY HATCH LANE,,LONDON,HARINGEY,GREATER LONDON
360000,19/02/2016,UB4 9JF,14,,KEIR HARDIE WAY,,HAYES,HILLINGDON,GREATER LONDON
670000,08/01/2016,W4 5HA,EDMUNDS HOUSE,41,COLONIAL DRIVE,,LONDON,EALING,GREATER LONDON
372000,29/01/2016,E10 6NF,97A,,CLAUDE ROAD,,LONDON,WALTHAM FOREST,GREATER LONDON
335000,01/02/2016,NW4 4PJ,MALCOLM COURT,FLAT 12,MALCOLM CRESCENT,,LONDON,BARNET,GREATER LONDON
601000,09/02/2016,W3 6EX,23A,,CUMBERLAND ROAD,,LONDON,EALING,GREATER LONDON
526000,03/02/2016,W5 2HB,THORPE HALL,8,EATON RISE,,LONDON,EALING,GREATER LONDON
400000,25/01/2016,HA6 2UH,6,,GLENSHEE CLOSE,,NORTHWOOD,HILLINGDON,GREATER LONDON
360000,26/01/2016,E14 6TP,"YEOMAN COURT, 15",FLAT 55,TWEED WALK,,LONDON,TOWER HAMLETS,GREATER LONDON
355000,22/01/2016,E17 5ER,71A,,CARR ROAD,WALTHAMSTOW,LONDON,WALTHAM FOREST,GREATER LONDON
192000,29/01/2016,TW13 4TH,289,,REDFORD CLOSE,,FELTHAM,HOUNSLOW,GREATER LONDON
220350,23/02/2016,N9 9AT,30,,ALL SAINTS CLOSE,,LONDON,ENFIELD,GREATER LONDON
2650000,05/02/2016,E1 7AQ,"CRAWFORD BUILDING, 112",APARTMENT 2104,WHITECHAPEL HIGH STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
485000,12/02/2016,UB6 8LD,27,,RHYL ROAD,PERIVALE,GREENFORD,EALING,GREATER LONDON
215000,12/02/2016,TW13 6RD,7A,,ST GEORGES ROAD,,FELTHAM,HOUNSLOW,GREATER LONDON
795000,05/02/2016,E1 6LW,"KENSINGTON APARTMENTS, 11",FLAT 20,COMMERCIAL STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
398000,29/01/2016,HA4 9LZ,40,,ELLIOTT AVENUE,,RUISLIP,HILLINGDON,GREATER LONDON
320000,05/01/2016,E3 3TR,"HOEY COURT, 4",FLAT 706,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
290000,06/01/2016,E17 8RS,"FLANDERS COURT, 1",FLAT 9,LUTHER KING CLOSE,,LONDON,WALTHAM FOREST,GREATER LONDON
414950,05/01/2016,NW9 5XD,"CONSTANTINE HOUSE, 14",FLAT 26,BOULEVARD DRIVE,,LONDON,BARNET,GREATER LONDON
395000,05/01/2016,E3 3TR,"HOEY COURT, 4",FLAT 502,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
345000,05/01/2016,E3 3TU,"GRENFELL COURT, 18",FLAT 508,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
362500,11/01/2016,NW9 5XD,"CONSTANTINE HOUSE, 14",FLAT 28,BOULEVARD DRIVE,,LONDON,BARNET,GREATER LONDON
305550,05/01/2016,E3 3TR,"HOEY COURT, 4",FLAT 606,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
502000,05/01/2016,E3 3TU,"GRENFELL COURT, 18",FLAT 706,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
448500,08/01/2016,E3 3TU,"GRENFELL COURT, 18",FLAT 503,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
440700,08/01/2016,E3 3TR,"HOEY COURT, 4",FLAT 1001,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
370000,08/01/2016,E3 3TR,"HOEY COURT, 4",FLAT 701,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
400000,08/01/2016,E3 3TR,"HOEY COURT, 4",FLAT 407,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
465000,08/01/2016,E3 3TR,"HOEY COURT, 4",FLAT 906,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
435000,06/01/2016,E3 3TU,"GRENFELL COURT, 18",FLAT 403,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
365000,07/01/2016,E3 3TR,"HOEY COURT, 4",FLAT 905,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
625000,04/01/2016,TW8 0FQ,MYRTLE COURT,APARTMENT 3,BALTIC AVENUE,,BRENTFORD,HOUNSLOW,GREATER LONDON
620000,04/01/2016,TW8 0FQ,MYRTLE COURT,PLOT 49,BALTIC AVENUE,,BRENTFORD,HOUNSLOW,GREATER LONDON
410000,05/01/2016,E3 3TR,"HOEY COURT, 4",FLAT 507,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
320000,05/01/2016,E3 3TR,"HOEY COURT, 4",FLAT 705,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
320000,06/01/2016,E3 3TR,"HOEY COURT, 4",FLAT 703,BARRY BLANDFORD WAY,,LONDON,TOWER HAMLETS,GREATER LONDON
